Bonaire	BQ.BO	BQ-BO	SPECIAL MUNICIPALITY	Boneiru	1		30
Saba	BQ.SB	BQ-SA	SPECIAL MUNICIPALITY		1		30
Sint Eustatius	BQ.SE	BQ-SE	SPECIAL MUNICIPALITY		1		30
Rio Grande do Norte	BR.22	BR-RN	STATE		1		31
Piauí	BR.20	BR-PI	STATE		1		31
Pernambuco	BR.30	BR-PE	STATE		1		31
Pará	BR.17	BR-PA	STATE	Paraná|Paraíba	1		31
Pará	BR.16				1		31
Maranhão	BR.13	BR-MA	STATE		1		31
Ceará	BR.06	BR-CE	STATE		1		31
Amapá	BR.03	BR-AP	STATE		1		31
Alagoas	BR.02	BR-AL	STATE		1		31
Sergipe	BR.28	BR-SE	STATE		1		31
São Paulo	BR.27	BR-SP	STATE		1		31
Santa Catarina	BR.26	BR-SC	STATE		1		31
Rio Grande do Sul	BR.23	BR-RS	STATE		1		31
Rio de Janeiro	BR.21	BR-RJ	STATE		1		31
Paraná	BR.18				1		31
Minas Gerais	BR.15	BR-MG	STATE		1		31
Mato Grosso do Sul	BR.11	BR-MS	STATE	Mato Grosso	1		31
Mato Grosso	BR.14				1		31
Goiás	BR.29	BR-GO	STATE		1		31
Distrito Federal	BR.07	BR-DF	FEDERAL DISTRICT	Federal District	1		31
Espírito Santo	BR.08	BR-ES	STATE		1		31
Bahia	BR.05	BR-BA	STATE		1		31
Tocantins	BR.31	BR-TO	STATE		1		31
Roraima	BR.25	BR-RR	STATE		1		31
Amazonas	BR.04	BR-AM	STATE		1		31
Acre	BR.01	BR-AC	STATE		1		31
Rondônia	BR.24	BR-RO	STATE		1		31
San Salvador	BS.35	BS-SS	DISTRICT		1		32
Ragged Island	BS.18	BS-RI	DISTRICT		1		32
Berry Islands	BS.32	BS-BY	DISTRICT		1		32
New Providence	BS.23	BS-NP	ISLAND		1		32
Mayaguana	BS.16	BS-MG	DISTRICT		1		32
Long Island	BS.15	BS-LI	DISTRICT	Crooked Island and Long Cay	1		32
Inagua	BS.13	BS-IN	DISTRICT		1		32
Harbour Island	BS.22	BS-HI	DISTRICT		1		32
City of Freeport	BS.25	BS-FP	DISTRICT	Freeport	1		32
Exuma	BS.10	BS-EX	DISTRICT		1		32
Cat Island	BS.06	BS-CI	DISTRICT		1		32
Bimini	BS.05	BS-BI	DISTRICT		1		32
Acklins	BS.24	BS-AK	DISTRICT		1		32
Black Point	BS.36	BS-BP	DISTRICT		1		32
Central Abaco	BS.37	BS-CO	DISTRICT		1		32
Central Andros	BS.38	BS-CS	DISTRICT		1		32
Central Eleuthera	BS.39	BS-CE	DISTRICT		1		32
Crooked Island and Long Cay	BS.40				1		32
East Grand Bahama	BS.41	BS-EG	DISTRICT		1		32
Grand Cay	BS.42	BS-GC	DISTRICT		1		32
Hope Town	BS.43	BS-HT	DISTRICT		1		32
Mangrove Cay	BS.44	BS-MC	DISTRICT		1		32
Moore's Island	BS.45	BS-MI	DISTRICT	Moore’s Island	1		32
North Abaco	BS.46	BS-NO	DISTRICT		1		32
North Andros	BS.47	BS-NS	DISTRICT		1		32
North Eleuthera	BS.48	BS-NE	DISTRICT		1		32
Rum Cay	BS.49	BS-RC	DISTRICT		1		32
South Abaco	BS.50	BS-SO	DISTRICT		1		32
South Andros	BS.51	BS-SA	DISTRICT		1		32
South Eleuthera	BS.52	BS-SE	DISTRICT		1		32
Spanish Wells	BS.53	BS-SW	DISTRICT		1		32
West Grand Bahama	BS.54	BS-WG	DISTRICT		1		32
Bumthang	BT.05	BT-33	DISTRICT	Bumthang District	1		33
Chhukha	BT.06	BT-12	DISTRICT	Chukha	1		33
Dagana	BT.08	BT-22	DISTRICT		1		33
Tsirang	BT.07	BT-21	DISTRICT	Tsirang District	1		33
Sarpang	BT.09	BT-31	DISTRICT	Sarpang District	1		33
Haa	BT.10	BT-13	DISTRICT		1		33
Lhuentse	BT.11	BT-44	DISTRICT	Lhuntse	1		33
Monggar	BT.12	BT-42	DISTRICT	Mongar	1		33
Paro	BT.13	BT-11	DISTRICT		1		33
Pema Gatshel	BT.14	BT-43	DISTRICT	Pemagatshel	1		33
Punakha	BT.15	BT-23	DISTRICT		1		33
Samtse	BT.16	BT-14	DISTRICT	Samtse District	1		33
Samdrup Jongkhar	BT.17	BT-45	DISTRICT		1		33
Zhemgang	BT.18	BT-34	DISTRICT	Zhemgang District	1		33
Trashigang	BT.19	BT-41	DISTRICT	Trashigang District	1		33
Thimphu	BT.20	BT-15	DISTRICT	Thimphu District	1		33
Trongsa	BT.21	BT-32	DISTRICT	Tongsa	1		33
Wangdue Phodrang	BT.22	BT-24	DISTRICT	Wangdi Phodrang	1		33
Gasa	BT.23	BT-GA	DISTRICT		1		33
Trashi Yangtse	BT.24	BT-TY	DISTRICT	Trashi Yangste	1		33
Southern	BW.10	BW-SO	DISTRICT	Ngwaketsi	1		35
South East	BW.09	BW-SE	DISTRICT	South-East	1		35
North East	BW.08	BW-NE	DISTRICT	North-East	1		35
North West	BW.11	BW-NW	DISTRICT	North-West	1		35
Kweneng	BW.06	BW-KW	DISTRICT		1		35
Kgatleng	BW.05	BW-KL	DISTRICT		1		35
Kgalagadi	BW.04	BW-KG	DISTRICT		1		35
Ghanzi	BW.03	BW-GH	DISTRICT		1		35
Chobe	BW.12	BW-CH	DISTRICT		1		35
Central	BW.01	BW-CE	DISTRICT		1		35
Francistown	BW.13	BW-FR	CITY	City of Francistown	1		35
Gaborone	BW.14	BW-GA	CITY		1		35
Jwaneng	BW.15	BW-JW	TOWN		1		35
Lobatse	BW.16	BW-LO	TOWN		1		35
Selibe Phikwe	BW.17	BW-SP	TOWN		1		35
Sowa Town	BW.18	BW-ST	TOWN		1		35
Viciebskaja voblasć	BY.07	BY-VI	OBLAST	Vitebsk|Vitebskaja oblast'|Vitebskaya oblast'|Vitsyebskaya voblasts'	1		36
Mahilioŭskaja voblasć	BY.06	BY-MA	OBLAST	Mahilyowskaya voblasts'|Mogilev|Mogilevskaja oblast'|Mogilevskaya oblast'	1		36
Minskaja oblast'	BY.05	BY-MI	OBLAST	Gorod Minsk|Horad Minsk|Minsk|Minskaja voblasć|Minskaya oblast'|Minskaya voblasts'	1		36
Minsk City	BY.04				1		36
Grodnenskaja oblast'	BY.03	BY-HR	OBLAST	Grodnenskaya|Grodnenskaya oblast'|Hrodzienskaja voblasć|Hrodzyenskaya voblasts'	1		36
Gomel'skaja oblast'	BY.02	BY-HO	OBLAST	Gomel Oblast|Gomel'skaya oblast'|Homieĺskaja voblasć|Homyel'skaya voblasts'	1		36
Bresckaja voblasć	BY.01	BY-BR	OBLAST	Brest|Brestskaja oblast'|Brestskaya oblast'|Brestskaya voblasts'	1		36
